# seed=20260723001 wall_start=2026-07-26 14:17:04 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
20.700,3.847,0.495,60.4,-3.498,-4.083,-7.385,5.031,8.345,-7.747
20.800,3.855,0.510,61.0,-3.496,-3.983,-7.447,4.962,8.345,-7.747
20.900,3.862,0.526,61.6,-3.493,-3.883,-7.510,4.894,8.345,-7.747
21.000,3.870,0.543,62.0,-3.492,-3.800,-7.572,4.825,8.345,-7.747
21.100,3.879,0.560,62.4,-3.492,-3.700,-7.635,4.756,8.345,-7.747
21.200,3.887,0.578,62.8,-3.492,-3.600,-7.697,4.687,8.345,-7.747
21.300,3.896,0.596,63.0,-3.491,-3.500,-7.760,4.618,8.345,-7.747
21.400,3.905,0.614,63.3,-3.491,-3.400,-7.791,4.584,8.345,-7.747
21.500,3.914,0.633,63.5,-3.491,-3.300,-7.791,4.584,8.345,-7.747
21.600,3.923,0.652,63.6,-3.491,-3.200,-7.791,4.584,8.345,-7.747
21.700,3.932,0.671,63.8,-3.491,-3.100,-7.791,4.584,8.345,-7.747
21.800,3.941,0.690,64.0,-3.491,-3.000,-7.791,4.584,8.345,-7.747
21.900,3.950,0.709,64.1,-3.491,-2.900,-7.791,4.584,8.345,-7.747
22.000,3.959,0.728,64.3,-3.491,-2.800,-7.791,4.584,8.345,-7.747
22.100,3.968,0.748,64.4,-3.491,-2.700,-7.791,4.584,8.345,-7.747
22.200,3.977,0.767,64.4,-3.491,-2.600,-7.791,4.584,8.345,-7.747
22.300,3.986,0.787,64.5,-3.491,-2.500,-7.791,4.584,8.345,-7.747
22.400,3.996,0.807,64.5,-3.490,-2.400,-7.791,4.584,8.345,-7.747
22.500,4.005,0.827,64.6,-3.490,-2.300,-7.791,4.584,8.345,-7.747
22.600,4.014,0.846,64.6,-3.490,-2.200,-7.791,4.584,8.345,-7.747
22.700,4.023,0.866,64.7,-3.490,-2.100,-7.791,4.584,8.345,-7.747
22.800,4.033,0.886,64.7,-3.490,-2.017,-7.791,4.584,8.345,-7.747
22.900,4.041,0.904,64.8,-3.395,-1.986,-7.791,4.584,8.345,-7.747
23.000,4.049,0.921,64.8,-3.300,-1.955,-7.791,4.584,8.345,-7.747
23.100,4.056,0.937,64.9,-3.205,-1.924,-7.791,4.584,8.345,-7.747
23.200,4.063,0.952,64.9,-3.110,-1.893,-7.791,4.584,8.345,-7.747
23.300,4.070,0.966,65.0,-3.014,-1.863,-7.791,4.584,8.345,-7.747
23.400,4.076,0.979,65.0,-2.919,-1.832,-7.791,4.584,8.345,-7.747
23.500,4.081,0.991,65.0,-2.824,-1.801,-7.791,4.584,8.345,-7.747
23.600,4.086,1.002,65.1,-2.729,-1.770,-7.791,4.584,8.345,-7.747
23.700,4.091,1.012,65.1,-2.634,-1.739,-7.791,4.584,8.345,-7.747
23.800,4.095,1.022,65.1,-2.539,-1.708,-7.791,4.584,8.345,-7.747
23.900,4.099,1.030,65.1,-2.444,-1.678,-7.791,4.584,8.345,-7.747
24.000,4.103,1.038,65.2,-2.348,-1.647,-7.791,4.584,8.345,-7.747
24.100,4.107,1.046,65.2,-2.253,-1.616,-7.791,4.584,8.345,-7.747
24.200,4.110,1.053,65.2,-2.158,-1.585,-7.791,4.584,8.345,-7.747
24.300,4.112,1.059,65.3,-2.063,-1.554,-7.791,4.584,8.345,-7.747
24.400,4.115,1.065,65.3,-1.968,-1.524,-7.767,4.603,8.345,-7.747
24.500,4.118,1.071,65.3,-1.873,-1.493,-7.695,4.663,8.345,-7.747
24.600,4.120,1.076,65.4,-1.778,-1.462,-7.624,4.722,8.345,-7.747
24.700,4.122,1.081,65.4,-1.682,-1.431,-7.552,4.781,8.345,-7.747
24.800,4.124,1.085,65.4,-1.587,-1.400,-7.480,4.840,8.345,-7.747
24.900,4.126,1.089,65.4,-1.492,-1.370,-7.408,4.899,8.345,-7.747
25.000,4.128,1.093,65.4,-1.397,-1.339,-7.336,4.958,8.345,-7.747
25.100,4.129,1.097,65.5,-1.302,-1.308,-7.264,5.017,8.345,-7.747
25.200,4.127,1.100,67.2,-1.207,-1.277,-7.193,5.076,8.345,-7.747
25.300,4.120,1.103,71.7,-1.112,-1.246,-7.121,5.135,8.345,-7.747
25.400,4.113,1.105,76.2,-1.096,-1.241,-7.049,5.194,8.345,-7.747
25.500,4.105,1.107,80.8,-1.096,-1.241,-6.977,5.253,8.345,-7.747
25.600,4.099,1.110,84.1,-1.096,-1.241,-6.905,5.312,8.345,-7.747
25.700,4.099,1.122,84.9,-1.096,-1.241,-6.833,5.371,8.345,-7.747
25.800,4.098,1.149,86.4,-1.096,-1.241,-6.762,5.430,8.345,-7.747
25.900,4.098,1.184,87.5,-1.096,-1.241,-6.690,5.490,8.345,-7.747
26.000,4.099,1.221,88.1,-1.096,-1.241,-6.618,5.549,8.345,-7.747
26.100,4.099,1.259,88.7,-1.096,-1.241,-6.546,5.608,8.345,-7.747
26.200,4.099,1.298,89.1,-1.096,-1.241,-6.474,5.667,8.345,-7.747
26.300,4.098,1.336,89.4,-1.096,-1.241,-6.402,5.726,8.345,-7.747
26.400,4.098,1.374,89.7,-1.096,-1.241,-6.331,5.785,8.345,-7.747
26.500,4.098,1.412,89.7,-1.096,-1.241,-6.259,5.844,8.345,-7.747
26.600,4.098,1.449,89.8,-1.096,-1.241,-6.187,5.903,8.345,-7.747
26.700,4.099,1.485,89.6,-1.096,-1.241,-6.115,5.962,8.345,-7.747
26.800,4.100,1.522,89.4,-1.096,-1.241,-6.043,6.021,8.345,-7.747
26.900,4.101,1.558,89.1,-1.096,-1.241,-5.971,6.080,8.345,-7.747
27.000,4.102,1.595,88.8,-1.096,-1.241,-5.900,6.139,8.345,-7.747
27.100,4.104,1.631,88.4,-1.096,-1.241,-5.828,6.198,8.345,-7.747
27.200,4.105,1.667,87.9,-1.096,-1.241,-5.756,6.257,8.345,-7.747
27.300,4.108,1.704,87.5,-1.096,-1.241,-5.684,6.316,8.345,-7.747
27.400,4.110,1.741,87.1,-1.096,-1.241,-5.612,6.376,8.345,-7.747
27.500,4.113,1.778,86.6,-1.096,-1.241,-5.540,6.435,8.345,-7.747
27.600,4.116,1.816,86.2,-1.096,-1.241,-5.469,6.494,8.345,-7.747
27.700,4.120,1.854,85.7,-1.096,-1.241,-5.397,6.553,8.345,-7.747
27.800,4.124,1.892,85.3,-1.096,-1.241,-5.325,6.612,8.345,-7.747
27.900,4.128,1.931,84.8,-1.096,-1.241,-5.253,6.671,8.345,-7.747
28.000,4.132,1.969,84.3,-1.096,-1.241,-5.181,6.730,8.345,-7.747
28.100,4.137,2.007,83.8,-1.096,-1.241,-5.109,6.789,8.345,-7.747
28.200,4.143,2.045,83.2,-1.096,-1.241,-5.038,6.848,8.345,-7.747
28.300,4.149,2.083,82.6,-1.096,-1.241,-4.966,6.907,8.345,-7.747
28.400,4.155,2.120,82.0,-1.160,-1.260,-4.894,6.966,8.345,-7.747
28.500,4.161,2.157,81.5,-1.256,-1.288,-4.822,7.025,8.345,-7.747
28.600,4.167,2.193,81.0,-1.352,-1.316,-4.750,7.084,8.345,-7.747
28.700,4.174,2.229,80.6,-1.448,-1.344,-4.678,7.143,8.345,-7.747
28.800,4.181,2.264,80.2,-1.544,-1.372,-4.607,7.203,8.345,-7.747
28.900,4.187,2.298,79.8,-1.640,-1.400,-4.535,7.262,8.345,-7.747
29.000,4.194,2.330,79.5,-1.736,-1.428,-4.463,7.321,8.345,-7.747
29.100,4.199,2.354,79.2,-1.832,-1.456,-4.391,7.380,8.345,-7.747
29.200,4.203,2.373,78.9,-1.928,-1.484,-4.319,7.439,8.345,-7.747
29.300,4.206,2.387,78.8,-2.024,-1.512,-4.247,7.498,8.345,-7.747
29.400,4.208,2.397,78.6,-2.120,-1.540,-4.176,7.557,8.345,-7.747
